iter_index,time,Tl_207,Pb_207,Pb_211,Bi_211,Bi_215,Po_211,Po_215,At_219,Rn_219,Fr_223,Ra_223,Ac_227,Th_227,Th_231,Pa_231,U_235
440,0.44,450.109,1122.74,3316.47,203.496,221.007,0.00226068,0.000865352,0.002463,0.00480427,924.089,1198.08,0,0,0,0,0
450,0.45,450.168,1162.1,3290.21,202.136,209.239,0.00224558,0.00081942,0.00241445,0.00487353,906.785,1215.35,0,0,0,0,0
460,0.46,449.965,1201.45,3263.63,200.74,198.097,0.00223007,0.000775936,0.00236771,0.00494148,889.804,1232.3,0,0,0,0,0
470,0.47,449.518,1240.77,3236.77,199.31,187.549,0.0022142,0.000734768,0.00232238,0.00500816,873.141,1248.93,0,0,0,0,0
480,0.48,448.839,1280.04,3209.66,197.85,177.563,0.00219799,0.000695793,0.00227826,0.0050736,856.79,1265.25,0,0,0,0,0
490,0.49,447.944,1319.24,3182.32,196.363,168.108,0.00218148,0.000658895,0.00223519,0.0051378,840.745,1281.26,0,0,0,0,0
500,0.5,446.845,1358.36,3154.8,194.852,159.157,0.0021647,0.000623962,0.00219307,0.00520079,825.001,1296.97,0,0,0,0,0
510,0.51,445.555,1397.37,3127.13,193.318,150.682,0.00214766,0.000590891,0.00215184,0.00526261,809.552,1312.39,0,0,0,0,0
520,0.52,444.086,1436.25,3099.32,191.765,142.659,0.00213042,0.000559582,0.00211143,0.00532326,794.392,1327.52,0,0,0,0,0
530,0.53,442.45,1475,3071.41,190.194,135.063,0.00211297,0.000529941,0.00207183,0.00538277,779.516,1342.36,0,0,0,0,0
540,0.54,440.658,1513.61,3043.41,188.608,127.872,0.00209536,0.000501879,0.00203298,0.00544117,764.918,1356.92,0,0,0,0,0
550,0.55,438.719,1552.04,3015.35,187.009,121.063,0.0020776,0.000475312,0.00199489,0.00549847,750.594,1371.21,0,0,0,0,0
560,0.56,436.645,1590.31,2987.26,185.398,114.617,0.00205971,0.000450161,0.00195751,0.00555469,736.538,1385.23,0,0,0,0,0
570,0.57,434.444,1628.38,2959.14,183.777,108.514,0.00204171,0.00042635,0.00192084,0.00560985,722.745,1398.99,0,0,0,0,0
580,0.58,432.125,1666.26,2931.03,182.148,102.737,0.00202362,0.000403808,0.00188486,0.00566398,709.211,1412.48,0,0,0,0,0
590,0.59,429.696,1703.92,2902.93,180.513,97.2663,0.00200546,0.000382467,0.00184956,0.00571708,695.93,1425.73,0,0,0,0,0
600,0.6,427.167,1741.38,2874.87,178.873,92.0874,0.00198723,0.000362263,0.00181492,0.00576919,682.897,1438.72,0,0,0,0,0
610,0.61,424.544,1778.6,2846.85,177.228,87.1844,0.00196897,0.000343136,0.00178093,0.00582032,670.109,1451.47,0,0,0,0,0
620,0.62,421.834,1815.59,2818.89,175.581,82.5423,0.00195068,0.000325028,0.00174758,0.00587049,657.56,1463.99,0,0,0,0,0
630,0.63,419.045,1852.35,2791.01,173.933,78.1475,0.00193237,0.000307885,0.00171486,0.00591972,645.247,1476.26,0,0,0,0,0
640,0.64,416.183,1888.85,2763.22,172.284,73.9868,0.00191405,0.000291656,0.00168274,0.00596802,633.163,1488.31,0,0,0,0,0
650,0.65,413.253,1925.1,2735.52,170.636,70.0475,0.00189575,0.000276292,0.00165123,0.00601541,621.307,1500.12,0,0,0,0,0
660,0.66,410.263,1961.09,2707.93,168.99,66.318,0.00187746,0.000261746,0.00162031,0.00606191,609.672,1511.72,0,0,0,0,0
670,0.67,407.217,1996.82,2680.46,167.346,62.7871,0.0018592,0.000247976,0.00158997,0.00610753,598.255,1523.1,0,0,0,0,0
680,0.68,404.12,2032.28,2653.12,165.706,59.4442,0.00184098,0.00023494,0.00156019,0.0061523,587.051,1534.26,0,0,0,0,0
690,0.69,400.978,2067.47,2625.92,164.07,56.2793,0.0018228,0.000222598,0.00153097,0.00619622,576.058,1545.22,0,0,0,0,0
700,0.7,397.795,2102.38,2598.86,162.438,53.283,0.00180468,0.000210915,0.0015023,0.00623932,565.271,1555.96,0,0,0,0,0
710,0.71,394.576,2137.01,2571.95,160.813,50.4461,0.00178663,0.000199854,0.00147417,0.00628161,554.685,1566.51,0,0,0,0,0
720,0.72,391.324,2171.36,2545.2,159.193,47.7604,0.00176864,0.000189383,0.00144657,0.0063231,544.298,1576.86,0,0,0,0,0
730,0.73,388.044,2205.42,2518.62,157.581,45.2177,0.00175072,0.00017947,0.00141948,0.00636381,534.105,1587.01,0,0,0,0,0
740,0.74,384.74,2239.19,2492.2,155.976,42.8103,0.00173289,0.000170085,0.00139289,0.00640375,524.103,1596.97,0,0,0,0,0
750,0.75,381.414,2272.67,2465.96,154.378,40.5311,0.00171515,0.000161201,0.00136681,0.00644294,514.289,1606.74,0,0,0,0,0
760,0.76,378.07,2305.86,2439.9,152.789,38.3733,0.0016975,0.000152791,0.00134122,0.00648139,504.658,1616.33,0,0,0,0,0
770,0.77,374.711,2338.76,2414.03,151.209,36.3304,0.00167994,0.000144829,0.0013161,0.00651912,495.207,1625.74,0,0,0,0,0
780,0.78,371.34,2371.37,2388.34,149.638,34.3963,0.00166249,0.000137291,0.00129145,0.00655614,485.934,1634.97,0,0,0,0,0
790,0.79,367.96,2403.68,2362.85,148.077,32.5652,0.00164515,0.000130156,0.00126727,0.00659246,476.834,1644.03,0,0,0,0,0
800,0.8,364.573,2435.69,2337.55,146.525,30.8315,0.00162791,0.0001234,0.00124354,0.0066281,467.905,1652.92,0,0,0,0,0
810,0.81,361.182,2467.41,2312.45,144.984,29.1902,0.00161079,0.000117005,0.00122025,0.00666306,459.142,1661.64,0,0,0,0,0
820,0.82,357.789,2498.83,2287.55,143.453,27.6362,0.00159378,0.000110952,0.0011974,0.00669737,450.544,1670.19,0,0,0,0,0
830,0.83,354.397,2529.95,2262.85,141.933,26.165,0.0015769,0.000105221,0.00117498,0.00673103,442.107,1678.59,0,0,0,0,0
840,0.84,351.006,2560.78,2238.36,140.424,24.7722,0.00156013,9.97954e-05,0.00115297,0.00676406,433.828,1686.82,0,0,0,0,0
850,0.85,347.62,2591.31,2214.07,138.927,23.4535,0.00154349,9.46595e-05,0.00113138,0.00679646,425.704,1694.91,0,0,0,0,0
860,0.86,344.239,2621.54,2190,137.44,22.205,0.00152698,8.97975e-05,0.0011102,0.00682825,417.732,1702.83,0,0,0,0,0
870,0.87,340.866,2651.48,2166.13,135.965,21.023,0.00151059,8.5195e-05,0.00108941,0.00685945,409.909,1710.61,0,0,0,0,0
880,0.88,337.502,2681.13,2142.47,134.502,19.9039,0.00149434,8.0838e-05,0.001069,0.00689005,402.233,1718.25,0,0,0,0,0
890,0.89,334.148,2710.48,2119.03,133.051,18.8444,0.00147822,7.67134e-05,0.00104899,0.00692008,394.701,1725.73,0,0,0,0,0
900,0.9,330.807,2739.54,2095.8,131.612,17.8413,0.00146223,7.28089e-05,0.00102934,0.00694954,387.31,1733.08,0,0,0,0,0
910,0.91,327.478,2768.31,2072.78,130.185,16.8917,0.00144638,6.91128e-05,0.00101007,0.00697845,380.057,1740.29,0,0,0,0,0
920,0.92,324.163,2796.79,2049.98,128.77,15.9926,0.00143066,6.56138e-05,0.000991151,0.00700681,372.939,1747.36,0,0,0,0,0
930,0.93,320.864,2824.97,2027.39,127.367,15.1413,0.00141507,6.23017e-05,0.00097259,0.00703463,365.956,1754.3,0,0,0,0,0
940,0.94,317.581,2852.87,2005.01,125.977,14.3354,0.00139963,5.91663e-05,0.000954377,0.00706193,359.103,1761.11,0,0,0,0,0
950,0.95,314.316,2880.49,1982.85,124.599,13.5724,0.00138432,5.61982e-05,0.000936505,0.00708872,352.378,1767.79,0,0,0,0,0
960,0.96,311.068,2907.82,1960.9,123.234,12.85,0.00136915,5.33887e-05,0.000918968,0.007115,345.779,1774.34,0,0,0,0,0
970,0.97,307.84,2934.86,1939.16,121.881,12.1661,0.00135412,5.07291e-05,0.000901759,0.00714078,339.304,1780.77,0,0,0,0,0
980,0.98,304.631,2961.63,1917.64,120.541,11.5186,0.00133923,4.82114e-05,0.000884872,0.00716608,332.95,1787.08,0,0,0,0,0
990,0.99,301.442,2988.12,1896.33,119.213,10.9056,0.00132448,4.58283e-05,0.000868301,0.0071909,326.715,1793.27,0,0,0,0,0
1000,1,298.274,3014.32,1875.23,117.898,10.3252,0.00130987,4.35724e-05,0.000852041,0.00721525,320.597,1799.34,0,0,0,0,0
1010,1.01,295.128,3040.25,1854.34,116.595,9.77569,0.0012954,4.14369e-05,0.000836086,0.00723914,314.593,1805.3,0,0,0,0,0
1020,1.02,292.004,3065.91,1833.67,115.305,9.25546,0.00128106,3.94156e-05,0.000820429,0.00726258,308.702,1811.15,0,0,0,0,0
1030,1.03,288.903,3091.3,1813.2,114.027,8.76291,0.00126687,3.75022e-05,0.000805065,0.00728557,302.921,1816.88,0,0,0,0,0
1040,1.04,285.825,3116.41,1792.94,112.762,8.29659,0.00125281,3.5691e-05,0.000789989,0.00730813,297.248,1822.51,0,0,0,0,0
1050,1.05,282.77,3141.26,1772.89,111.509,7.85511,0.00123889,3.39767e-05,0.000775195,0.00733027,291.682,1828.03,0,0,0,0,0
